Long_Desc,NutrDesc,Nutr_Val,Amount,Msre_Desc,Gm_Wgt
Beans;  snap;  green;  canned;  no salt added;  solids and liquids,Copper;  Cu,0.07,0.5,cup,120
Soup;  cream of celery;  canned;  condensed,Copper;  Cu,0.113,0.5,cup,126
Asparagus;  cooked;  boiled;  drained,Copper;  Cu,0.165,0.5,cup,90
Sauce;  sofrito;  prepared from recipe,Copper;  Cu,0.165,0.5,cup,103
Asparagus;  canned;  no salt added;  solids and liquids,Copper;  Cu,0.107,0.5,cup,122
Tomato products;  canned;  sauce;  with herbs and cheese,Copper;  Cu,0.174,0.5,cup,122
CAMPBELL'S;  Red and White;  Chicken Noodle Soup;  condensed,Copper;  Cu,0.027,0.5,cup,123
Soup;  vegetable;  canned;  low sodium;  condensed,Copper;  Cu,0.232,0.5,cup,126
Potatoes;  hash brown;  frozen;  plain;  unprepared,Copper;  Cu,0.099,0.5,cup,105
Asparagus;  canned;  regular pack;  solids and liquids,Copper;  Cu,0.107,0.5,cup,122
Peas and carrots;  frozen;  unprepared,Copper;  Cu,0.089,0.5,cup,70
Soup;  chicken mushroom;  canned;  condensed,Copper;  Cu,0.04,0.5,cup,124
Rowal;  raw,Copper;  Cu,1.06,0.5,cup,114
Soup;  vegetable with beef broth;  canned;  condensed,Copper;  Cu,0.125,0.5,cup,123
Fruit cocktail;  (peach and pineapple and pear and grape and cherry);  canned;  extra heavy syrup;  solids and liquids,Copper;  Cu,0.067,0.5,cup,130
Fruit cocktail;  (peach and pineapple and pear and grape and cherry);  canned;  extra light syrup;  solids and liquids,Copper;  Cu,0.1,0.5,cup,123
Spinach;  frozen;  chopped or leaf;  cooked;  boiled;  drained;  without salt,Copper;  Cu,0.161,0.5,cup,95
Cereals;  QUAKER;  Quick Oats;  Dry,Copper;  Cu,0.37,0.5,cup,40
Soup;  cream of chicken;  canned;  condensed;  reduced sodium,Copper;  Cu,0.034,0.5,cup,124
Abiyuch;  raw,Copper;  Cu,0.057,0.5,cup,114
Peas;  green;  canned;  no salt added;  solids and liquids,Manganese;  Mn,0.264,0.5,cup,124
Spanish rice mix;  dry mix;  unprepared,Manganese;  Mn,0.79,0.5,cup,70
Tofu;  firm;  prepared with calcium sulfate and magnesium chloride (nigari),Manganese;  Mn,0.625,0.5,cup,126
Puddings;  coconut cream;  dry mix;  instant;  prepared with whole milk,Manganese;  Mn,0.019,0.5,cup,147
Puddings;  lemon;  dry mix;  instant;  prepared with whole milk,Manganese;  Mn,0.003,0.5,cup,147
Potato salad with egg,Manganese;  Mn,0.112,0.5,cup,125
Desserts;  egg custard;  baked;  prepared-from-recipe,Manganese;  Mn,0.01,0.5,cup,141
Gelatin desserts;  dry mix;  reduced calorie;  with aspartame;  prepared with water,Manganese;  Mn,0,0.5,cup,117
Puddings;  chocolate;  dry mix;  regular;  prepared with whole milk,Manganese;  Mn,0.097,0.5,cup,142
Puddings;  coconut cream;  dry mix;  instant;  prepared with 2% milk,Manganese;  Mn,0.019,0.5,cup,147
Puddings;  vanilla;  dry mix;  regular;  prepared with 2% milk,Manganese;  Mn,0.004,0.5,cup,128
Potatoes;  boiled;  cooked without skin;  flesh;  without salt,Manganese;  Mn,0.14,0.5,cup,78
Puddings;  rice;  dry mix;  prepared with whole milk,Manganese;  Mn,0.059,0.5,cup,128
Tofu;  raw;  firm;  prepared with calcium sulfate,Manganese;  Mn,1.181,0.5,cup,126
Desserts;  flan;  caramel custard;  prepared-from-recipe,Manganese;  Mn,0.01,0.5,cup,153
Frozen yogurts;  vanilla;  soft-serve,Manganese;  Mn,0.012,0.5,cup,72
Vegetables;  mixed;  frozen;  cooked;  boiled;  drained;  with salt,Manganese;  Mn,0.379,0.5,cup,91
Puddings;  banana;  dry mix;  regular;  prepared with whole milk,Manganese;  Mn,0.006,0.5,cup,127
Asparagus;  canned;  regular pack;  solids and liquids,Manganese;  Mn,0.152,0.5,cup,122
Asparagus;  cooked;  boiled;  drained;  with salt,Manganese;  Mn,0.154,0.5,cup,90
Puddings;  coconut cream;  dry mix;  regular;  prepared with whole milk,Manganese;  Mn,0.037,0.5,cup,140
Soup;  beef noodle;  canned;  condensed,Manganese;  Mn,0.218,0.5,cup,125
HEALTHY REQUEST;  Chicken with Rice;  condensed,Manganese;  Mn,0.182,0.5,cup,126
Cheese;  ricotta;  whole milk,Manganese;  Mn,0.006,0.5,cup,124
Potatoes;  hash brown;  frozen;  plain;  unprepared,Manganese;  Mn,0.146,0.5,cup,105
Soup;  clam chowder;  new england;  canned;  condensed,Manganese;  Mn,0.165,0.5,cup,126
Puddings;  vanilla;  dry mix;  instant;  prepared with whole milk,Manganese;  Mn,0.007,0.5,cup,142
Pudding;  lemon;  dry mix;  regular;  prepared with sugar;  egg yolk and water,Manganese;  Mn,0.005,0.5,cup,127
Peas;  green;  frozen;  cooked;  boiled;  drained;  without salt,Manganese;  Mn,0.279,0.5,cup,80
Soup;  cream of celery;  canned;  condensed,Manganese;  Mn,0.2,0.5,cup,126
Puddings;  chocolate;  dry mix;  instant;  prepared with whole milk,Manganese;  Mn,0.042,0.5,cup,147
Tofu;  raw;  regular;  prepared with calcium sulfate,Manganese;  Mn,0.605,0.5,cup,124
Egg custards;  dry mix;  prepared with whole milk,Manganese;  Mn,0.007,0.5,cup,141
Puddings;  rice;  dry mix;  prepared with 2% milk,Manganese;  Mn,0.057,0.5,cup,128
Potatoes;  boiled;  cooked in skin;  flesh;  with salt,Manganese;  Mn,0.138,0.5,cup,78
Puddings;  chocolate;  dry mix;  regular;  prepared with 2% milk,Manganese;  Mn,0.106,0.5,cup,128
Puddings;  tapioca;  dry mix;  prepared with whole milk,Manganese;  Mn,0.009,0.5,cup,128
Potatoes;  baked;  flesh and skin;  with salt,Manganese;  Mn,0.219,0.5,cup,61
Desserts;  apple crisp;  prepared-from-recipe,Manganese;  Mn,0.13,0.5,cup,141
Puddings;  tapioca;  dry mix;  prepared with 2% milk,Manganese;  Mn,0.007,0.5,cup,128
Gelatin desserts;  dry mix;  prepared with water,Manganese;  Mn,0.002,0.5,cup,135
Ice creams;  vanilla;  rich,Manganese;  Mn,0.004,0.5,cup,107
Puddings;  vanilla;  dry mix;  regular;  prepared with whole milk,Manganese;  Mn,0.005,0.5,cup,140
Caribou;  hind quarter;  meat;  cooked (Alaska Native),Manganese;  Mn,0.043,0.5,cup,66
Turnip greens;  frozen;  cooked;  boiled;  drained;  with salt,Manganese;  Mn,0.475,0.5,cup,82
Lotus root;  cooked;  boiled;  drained;  with salt,Manganese;  Mn,0.22,0.5,cup,60
Peas and carrots;  frozen;  cooked;  boiled;  drained;  with salt,Manganese;  Mn,0.202,0.5,cup,80
Puddings;  coconut cream;  dry mix;  regular;  prepared with 2% milk,Manganese;  Mn,0.037,0.5,cup,140
Potatoes;  microwaved;  cooked in skin;  flesh;  with salt,Manganese;  Mn,0.17,0.5,cup,78
Potatoes;  boiled;  cooked without skin;  flesh;  with salt,Manganese;  Mn,0.14,0.5,cup,78
Spinach;  frozen;  chopped or leaf;  cooked;  boiled;  drained;  with salt,Manganese;  Mn,0.717,0.5,cup,95
Broccoli;  frozen;  spears;  cooked;  boiled;  drained;  with salt,Manganese;  Mn,0.325,0.5,cup,92
Peas;  green;  frozen;  cooked;  boiled;  drained;  with salt,Manganese;  Mn,0.279,0.5,cup,80
Egg custards;  dry mix;  prepared with 2% milk,Manganese;  Mn,0.016,0.5,cup,141
Peas;  green;  canned;  no salt added;  drained solids,Manganese;  Mn,0.303,0.5,cup,85
Puddings;  banana;  dry mix;  instant;  prepared with whole milk,Manganese;  Mn,0.005,0.5,cup,127
Cereals;  QUAKER;  Quick Oats;  Dry,Manganese;  Mn,4.3,0.5,cup,40
Soup;  cream of onion;  canned;  condensed,Manganese;  Mn,0.2,0.5,cup,126
Tomato products;  canned;  sauce;  with herbs and cheese,Manganese;  Mn,0.188,0.5,cup,122
Spinach;  frozen;  chopped or leaf;  cooked;  boiled;  drained;  without salt,Manganese;  Mn,0.717,0.5,cup,95
Soup;  vegetarian vegetable;  canned;  condensed,Manganese;  Mn,0.375,0.5,cup,126
Sauce;  sofrito;  prepared from recipe,Manganese;  Mn,0.191,0.5,cup,103
Soup;  vegetable with beef broth;  canned;  condensed,Manganese;  Mn,0.275,0.5,cup,123
Soup;  vegetable beef;  canned;  condensed,Manganese;  Mn,0.25,0.5,cup,126
Ice cream;  soft serve;  chocolate,Manganese;  Mn,0.005,0.5,cup,86
Peas and onions;  frozen;  unprepared,Manganese;  Mn,0.274,0.5,cup,69
Soup;  vegetable;  canned;  low sodium;  condensed,Manganese;  Mn,0.25,0.5,cup,126
Soybeans;  mature seeds;  sprouted;  raw,Manganese;  Mn,0.702,0.5,cup,35
Vegetables;  mixed;  frozen;  cooked;  boiled;  drained;  without salt,Manganese;  Mn,0.379,0.5,cup,91
Beans;  snap;  green;  canned;  no salt added;  solids and liquids,Manganese;  Mn,0.335,0.5,cup,120
Cheese;  ricotta;  part skim milk,Manganese;  Mn,0.01,0.5,cup,124
Soup;  bean with pork;  canned;  condensed,Manganese;  Mn,0.5,0.5,cup,130
Rowal;  raw,Manganese;  Mn,0.155,0.5,cup,114
Abiyuch;  raw,Manganese;  Mn,0.182,0.5,cup,114
Tomatoes;  crushed;  canned,Manganese;  Mn,0.183,0.5,cup,121
Peas and carrots;  frozen;  unprepared,Manganese;  Mn,0.235,0.5,cup,70
Soup;  chicken mushroom;  canned;  condensed,Manganese;  Mn,0.1,0.5,cup,124
Potatoes;  baked;  flesh;  with salt,Manganese;  Mn,0.161,0.5,cup,61
Asparagus;  canned;  no salt added;  solids and liquids,Manganese;  Mn,0.152,0.5,cup,122
Turnip greens;  canned;  solids and liquids,Manganese;  Mn,0.277,0.5,cup,117
Asparagus;  cooked;  boiled;  drained,Manganese;  Mn,0.154,0.5,cup,90
Soup;  cheese;  canned;  condensed,Manganese;  Mn,0.2,0.5,cup,124
Potatoes;  baked;  flesh;  without salt,Manganese;  Mn,0.161,0.5,cup,61
Soup;  cream of mushroom;  canned;  condensed,Manganese;  Mn,0.037,0.5,cup,126
Soup;  cream of chicken;  canned;  condensed;  reduced sodium,Manganese;  Mn,0.055,0.5,cup,124
Potatoes;  microwaved;  cooked in skin;  flesh;  without salt,Manganese;  Mn,0.17,0.5,cup,78
Beans;  lima;  immature seeds;  canned;  regular pack;  solids and liquids,Manganese;  Mn,0.7,0.5,cup,124
Lotus root;  cooked;  boiled;  drained;  without salt,Manganese;  Mn,0.22,0.5,cup,60
Beans;  snap;  canned;  all styles;  seasoned;  solids and liquids,Manganese;  Mn,0.312,0.5,cup,114
Soup;  chicken vegetable;  canned;  condensed,Manganese;  Mn,0.3,0.5,cup,121
Soup;  chicken noodle;  canned;  condensed,Manganese;  Mn,0.098,0.5,cup,124
Fruit cocktail;  (peach and pineapple and pear and grape and cherry);  canned;  extra heavy syrup;  solids and liquids,Manganese;  Mn,0.142,0.5,cup,130
Soup;  cream of potato;  canned;  condensed,Manganese;  Mn,0.3,0.5,cup,124
Beans;  snap;  yellow;  canned;  regular pack;  solids and liquids,Manganese;  Mn,0.335,0.5,cup,120
Soup;  beef broth bouillon and consomme;  canned;  condensed,Manganese;  Mn,0.019,0.5,cup,124
Peas;  green;  canned;  regular pack;  solids and liquids,Manganese;  Mn,0.211,0.5,cup,124
Fruit cocktail;  (peach and pineapple and pear and grape and cherry);  canned;  extra light syrup;  solids and liquids,Manganese;  Mn,0.147,0.5,cup,123
Broccoli;  frozen;  spears;  cooked;  boiled;  drained;  without salt,Manganese;  Mn,0.325,0.5,cup,92
CAMPBELL'S;  Red and White;  Chicken Noodle Soup;  condensed,Manganese;  Mn,0.1,0.5,cup,123
Beans;  snap;  yellow;  canned;  no salt added;  solids and liquids,Manganese;  Mn,0.335,0.5,cup,120
Soup;  chicken with rice;  canned;  condensed,Manganese;  Mn,0.3,0.5,cup,126
Potatoes;  boiled;  cooked in skin;  flesh;  without salt,Manganese;  Mn,0.138,0.5,cup,78
Soup;  pea;  green;  canned;  condensed,Manganese;  Mn,0.5,0.5,cup,128
Broccoli;  frozen;  spears;  cooked;  boiled;  drained;  with salt,Selenium;  Se,1.9,0.5,cup,92
Puddings;  vanilla;  dry mix;  regular;  prepared with whole milk,Selenium;  Se,3.3,0.5,cup,140
Gelatin desserts;  dry mix;  reduced calorie;  with aspartame;  prepared with water,Selenium;  Se,0,0.5,cup,117
Puddings;  vanilla;  dry mix;  instant;  prepared with whole milk,Selenium;  Se,1.6,0.5,cup,142
Puddings;  banana;  dry mix;  regular;  prepared with whole milk,Selenium;  Se,3.3,0.5,cup,127
Vegetables;  mixed;  frozen;  cooked;  boiled;  drained;  with salt,Selenium;  Se,0.3,0.5,cup,91
Puddings;  coconut cream;  dry mix;  instant;  prepared with 2% milk,Selenium;  Se,2,0.5,cup,147
Puddings;  vanilla;  dry mix;  regular;  prepared with 2% milk,Selenium;  Se,2.1,0.5,cup,128
Puddings;  chocolate;  dry mix;  regular;  prepared with 2% milk,Selenium;  Se,2.7,0.5,cup,128
Ice creams;  vanilla;  fat free,Selenium;  Se,2.9,0.5,cup,67
Puddings;  rice;  dry mix;  prepared with 2% milk,Selenium;  Se,1.9,0.5,cup,128
Soup;  cheese;  canned;  condensed,Selenium;  Se,3.6,0.5,cup,124
Potatoes;  baked;  flesh and skin;  with salt,Selenium;  Se,0.4,0.5,cup,61
Gelatin desserts;  dry mix;  prepared with water,Selenium;  Se,1.1,0.5,cup,135
Potato salad with egg,Selenium;  Se,2.4,0.5,cup,125
Peas;  green;  canned;  no salt added;  drained solids,Selenium;  Se,1.7,0.5,cup,85
Pudding;  lemon;  dry mix;  regular;  prepared with sugar;  egg yolk and water,Selenium;  Se,2.4,0.5,cup,127
Puddings;  tapioca;  dry mix;  prepared with 2% milk,Selenium;  Se,2,0.5,cup,128
Egg custards;  dry mix;  prepared with whole milk,Selenium;  Se,6,0.5,cup,141
Puddings;  lemon;  dry mix;  instant;  prepared with whole milk,Selenium;  Se,1.8,0.5,cup,147
Soup;  chicken noodle;  canned;  condensed,Selenium;  Se,6.3,0.5,cup,124
Fat free ice cream;  no sugar added;  flavors other than chocolate,Selenium;  Se,1.9,0.5,cup,68
Soup;  cream of celery;  canned;  condensed,Selenium;  Se,1.8,0.5,cup,126
Potatoes;  baked;  flesh;  with salt,Selenium;  Se,0.3,0.5,cup,61
Peas and onions;  frozen;  unprepared,Selenium;  Se,0.6,0.5,cup,69
Tofu;  raw;  firm;  prepared with calcium sulfate,Selenium;  Se,17.4,0.5,cup,126
Soup;  vegetarian vegetable;  canned;  condensed,Selenium;  Se,3.5,0.5,cup,126
Peas;  green;  frozen;  cooked;  boiled;  drained;  with salt,Selenium;  Se,1,0.5,cup,80
Puddings;  rice;  dry mix;  prepared with whole milk,Selenium;  Se,1.8,0.5,cup,128
Desserts;  egg custard;  baked;  prepared-from-recipe,Selenium;  Se,8.8,0.5,cup,141
Frozen yogurts;  vanilla;  soft-serve,Selenium;  Se,3.3,0.5,cup,72
Peas;  green;  canned;  no salt added;  solids and liquids,Selenium;  Se,1.3,0.5,cup,124
Potatoes;  microwaved;  cooked in skin;  flesh;  with salt,Selenium;  Se,0.4,0.5,cup,78
Puddings;  coconut cream;  dry mix;  regular;  prepared with 2% milk,Selenium;  Se,2.3,0.5,cup,140
Soup;  vegetable beef;  canned;  condensed,Selenium;  Se,2.2,0.5,cup,126
Tofu;  firm;  prepared with calcium sulfate and magnesium chloride (nigari),Selenium;  Se,9.9,0.5,cup,126
Puddings;  coconut cream;  dry mix;  instant;  prepared with whole milk,Selenium;  Se,2,0.5,cup,147
Tofu;  raw;  regular;  prepared with calcium sulfate,Selenium;  Se,8.9,0.5,cup,124
Potatoes;  boiled;  cooked without skin;  flesh;  with salt,Selenium;  Se,0.3,0.5,cup,78
Spanish rice mix;  dry mix;  unprepared,Selenium;  Se,33.1,0.5,cup,70
SILK Nog;  soymilk,Selenium;  Se,0,0.5,cup,122
Turnip greens;  frozen;  cooked;  boiled;  drained;  with salt,Selenium;  Se,1.2,0.5,cup,82
Egg custards;  dry mix;  prepared with 2% milk,Selenium;  Se,4.9,0.5,cup,141
Peas and carrots;  frozen;  cooked;  boiled;  drained;  with salt,Selenium;  Se,1.1,0.5,cup,80
Puddings;  tapioca;  dry mix;  prepared with whole milk,Selenium;  Se,1.9,0.5,cup,128
Desserts;  flan;  caramel custard;  prepared-from-recipe,Selenium;  Se,8.7,0.5,cup,153
Puddings;  chocolate;  dry mix;  regular;  prepared with whole milk,Selenium;  Se,3.7,0.5,cup,142
Puddings;  banana;  dry mix;  instant;  prepared with whole milk,Selenium;  Se,3.2,0.5,cup,127
Caribou;  hind quarter;  meat;  cooked (Alaska Native),Selenium;  Se,16.5,0.5,cup,66
Lotus root;  cooked;  boiled;  drained;  with salt,Selenium;  Se,0.6,0.5,cup,60
Spinach;  frozen;  chopped or leaf;  cooked;  boiled;  drained;  with salt,Selenium;  Se,5.5,0.5,cup,95
Puddings;  coconut cream;  dry mix;  regular;  prepared with whole milk,Selenium;  Se,2.3,0.5,cup,140
Desserts;  apple crisp;  prepared-from-recipe,Selenium;  Se,3.5,0.5,cup,141
Puddings;  chocolate;  dry mix;  instant;  prepared with whole milk,Selenium;  Se,1.7,0.5,cup,147
Potatoes;  boiled;  cooked in skin;  flesh;  with salt,Selenium;  Se,0.3,0.5,cup,78
Beans;  snap;  yellow;  canned;  regular pack;  solids and liquids,Selenium;  Se,0.2,0.5,cup,120
Beans;  snap;  canned;  all styles;  seasoned;  solids and liquids,Selenium;  Se,0.2,0.5,cup,114
Potatoes;  boiled;  cooked in skin;  flesh;  without salt,Selenium;  Se,0.3,0.5,cup,78
Beans;  snap;  yellow;  canned;  no salt added;  solids and liquids,Selenium;  Se,0.2,0.5,cup,120
Potatoes;  microwaved;  cooked in skin;  flesh;  without salt,Selenium;  Se,0.4,0.5,cup,78
Asparagus;  canned;  regular pack;  solids and liquids,Selenium;  Se,1.6,0.5,cup,122
Soybeans;  mature seeds;  sprouted;  raw,Selenium;  Se,0.6,0.5,cup,35
Cheese;  ricotta;  part skim milk,Selenium;  Se,16.7,0.5,cup,124
Cheese;  ricotta;  whole milk,Selenium;  Se,14.5,0.5,cup,124
Turnip greens;  canned;  solids and liquids,Selenium;  Se,0.7,0.5,cup,117
Spinach;  frozen;  chopped or leaf;  cooked;  boiled;  drained;  without salt,Selenium;  Se,5.5,0.5,cup,95
Asparagus;  cooked;  boiled;  drained,Selenium;  Se,6.1,0.5,cup,90
Ice cream;  soft serve;  chocolate,Selenium;  Se,3,0.5,cup,86
Soup;  chicken mushroom;  canned;  condensed,Selenium;  Se,2.9,0.5,cup,124
Lotus root;  cooked;  boiled;  drained;  without salt,Selenium;  Se,0.6,0.5,cup,60
Peas;  green;  frozen;  cooked;  boiled;  drained;  without salt,Selenium;  Se,1,0.5,cup,80
Yogurt;  frozen;  flavors not chocolate;  nonfat milk;  with low-calorie sweetener,Selenium;  Se,2.8,0.5,cup,68
Tomato products;  canned;  sauce;  with herbs and cheese,Selenium;  Se,0.9,0.5,cup,122
Soup;  vegetable with beef broth;  canned;  condensed,Selenium;  Se,2.2,0.5,cup,123
Peas;  green;  canned;  regular pack;  solids and liquids,Selenium;  Se,1.3,0.5,cup,124
Ice creams;  vanilla;  rich,Selenium;  Se,3.5,0.5,cup,107
Asparagus;  canned;  no salt added;  solids and liquids,Selenium;  Se,1.6,0.5,cup,122
Potatoes;  hash brown;  frozen;  plain;  unprepared,Selenium;  Se,0.3,0.5,cup,105
Tomatoes;  crushed;  canned,Selenium;  Se,0.6,0.5,cup,121
Cereals;  QUAKER;  Quick Oats;  Dry,Selenium;  Se,28.9,0.5,cup,40
Potatoes;  boiled;  cooked without skin;  flesh;  without salt,Selenium;  Se,0.3,0.5,cup,78
Beans;  snap;  green;  canned;  no salt added;  solids and liquids,Selenium;  Se,0.2,0.5,cup,120
Soup;  beef broth bouillon and consomme;  canned;  condensed,Selenium;  Se,1.4,0.5,cup,124
Soup;  pea;  green;  canned;  condensed,Selenium;  Se,7.4,0.5,cup,128
Soup;  cream of onion;  canned;  condensed,Selenium;  Se,2.3,0.5,cup,126
Soup;  bean with pork;  canned;  condensed,Selenium;  Se,6.4,0.5,cup,130
Soup;  chicken vegetable;  canned;  condensed,Selenium;  Se,4.5,0.5,cup,121
Soup;  cream of mushroom;  canned;  condensed,Selenium;  Se,2.9,0.5,cup,126
Soup;  clam chowder;  new england;  canned;  condensed,Selenium;  Se,6.3,0.5,cup,126
Soup;  chicken with rice;  canned;  condensed,Selenium;  Se,4.1,0.5,cup,126
Peas and carrots;  frozen;  unprepared,Selenium;  Se,1.2,0.5,cup,70
Soup;  cream of chicken;  canned;  condensed;  reduced sodium,Selenium;  Se,6.3,0.5,cup,124
Broccoli;  frozen;  spears;  cooked;  boiled;  drained;  without salt,Selenium;  Se,1.9,0.5,cup,92
Vegetables;  mixed;  frozen;  cooked;  boiled;  drained;  without salt,Selenium;  Se,0.3,0.5,cup,91
Beans;  lima;  immature seeds;  canned;  regular pack;  solids and liquids,Selenium;  Se,1.1,0.5,cup,124
Potatoes;  baked;  flesh;  without salt,Selenium;  Se,0.3,0.5,cup,61
HEALTHY REQUEST;  Chicken with Rice;  condensed,Selenium;  Se,1.7,0.5,cup,126
Asparagus;  cooked;  boiled;  drained;  with salt,Selenium;  Se,6.1,0.5,cup,90
Soup;  beef noodle;  canned;  condensed,Selenium;  Se,5.9,0.5,cup,125
Soup;  cream of potato;  canned;  condensed,Selenium;  Se,1.9,0.5,cup,124
Soup;  vegetable;  canned;  low sodium;  condensed,Selenium;  Se,4,0.5,cup,126
Puddings;  lemon;  dry mix;  instant;  prepared with whole milk,Fluoride;  F,22,0.5,cup,147
Asparagus;  cooked;  boiled;  drained;  with salt,Fluoride;  F,21.9,0.5,cup,90
Puddings;  chocolate;  dry mix;  instant;  prepared with whole milk,Fluoride;  F,22,0.5,cup,147
Gelatin desserts;  dry mix;  prepared with water,Fluoride;  F,69.1,0.5,cup,135
Potatoes;  boiled;  cooked in skin;  flesh;  with salt,Fluoride;  F,49.4,0.5,cup,78
Puddings;  chocolate;  dry mix;  regular;  prepared with 2% milk,Fluoride;  F,2.9,0.5,cup,128
Puddings;  vanilla;  dry mix;  instant;  prepared with whole milk,Fluoride;  F,22,0.5,cup,142
Potatoes;  boiled;  cooked in skin;  flesh;  without salt,Fluoride;  F,49.4,0.5,cup,78
Potatoes;  hash brown;  frozen;  plain;  unprepared,Fluoride;  F,43.7,0.5,cup,105
Egg custards;  dry mix;  prepared with 2% milk,Fluoride;  F,3.1,0.5,cup,141
Asparagus;  cooked;  boiled;  drained,Fluoride;  F,21.9,0.5,cup,90
Soup;  vegetable with beef broth;  canned;  condensed,Vitamin C;  total ascorbic acid,1.9,0.5,cup,123
Soup;  pea;  green;  canned;  condensed,Vitamin C;  total ascorbic acid,1.3,0.5,cup,128
Sauce;  sofrito;  prepared from recipe,Vitamin C;  total ascorbic acid,20.4,0.5,cup,103
Fruit cocktail;  (peach and pineapple and pear and grape and cherry);  canned;  extra heavy syrup;  solids and liquids,Vitamin C;  total ascorbic acid,1.9,0.5,cup,130
Spinach;  frozen;  chopped or leaf;  cooked;  boiled;  drained;  without salt,Vitamin C;  total ascorbic acid,2.2,0.5,cup,95
Potatoes;  hash brown;  frozen;  plain;  unprepared,Vitamin C;  total ascorbic acid,8.2,0.5,cup,105
Peas and carrots;  frozen;  unprepared,Vitamin C;  total ascorbic acid,11.2,0.5,cup,70
Vegetables;  mixed;  frozen;  cooked;  boiled;  drained;  without salt,Vitamin C;  total ascorbic acid,3.2,0.5,cup,91
Egg custards;  dry mix;  prepared with whole milk,Vitamin C;  total ascorbic acid,0.1,0.5,cup,141
Peas and onions;  frozen;  unprepared,Vitamin C;  total ascorbic acid,14,0.5,cup,69
Peas;  green;  frozen;  cooked;  boiled;  drained;  without salt,Vitamin C;  total ascorbic acid,9.9,0.5,cup,80
Beans;  snap;  yellow;  canned;  no salt added;  solids and liquids,Vitamin C;  total ascorbic acid,4,0.5,cup,120
Asparagus;  canned;  regular pack;  solids and liquids,Vitamin C;  total ascorbic acid,16.5,0.5,cup,122
Soup;  vegetable beef;  canned;  condensed,Vitamin C;  total ascorbic acid,1.9,0.5,cup,126
Potatoes;  microwaved;  cooked in skin;  flesh;  with salt,Vitamin C;  total ascorbic acid,15.1,0.5,cup,78
PACE;  Spicy Jalapeno Refried Beans,Vitamin C;  total ascorbic acid,0,0.5,cup,120
Puddings;  vanilla;  dry mix;  instant;  prepared with whole milk,Vitamin C;  total ascorbic acid,0.8,0.5,cup,142
Vegetables;  mixed;  frozen;  cooked;  boiled;  drained;  with salt,Vitamin C;  total ascorbic acid,3.2,0.5,cup,91
Spinach;  frozen;  chopped or leaf;  cooked;  boiled;  drained;  with salt,Vitamin C;  total ascorbic acid,2.2,0.5,cup,95
PREGO Pasta;  Heart Smart- Traditional Sauce;  ready-to-serve,Vitamin C;  total ascorbic acid,1.8,0.5,cup,130
Tofu;  firm;  prepared with calcium sulfate and magnesium chloride (nigari),Vitamin C;  total ascorbic acid,0.2,0.5,cup,126
Campbell's Pork and Beans,Vitamin C;  total ascorbic acid,0,0.5,cup,130
Puddings;  coconut cream;  dry mix;  instant;  prepared with 2% milk,Vitamin C;  total ascorbic acid,0.8,0.5,cup,147
Peas;  green;  canned;  no salt added;  drained solids,Vitamin C;  total ascorbic acid,9.6,0.5,cup,85
Puddings;  chocolate;  dry mix;  regular;  prepared with whole milk,Vitamin C;  total ascorbic acid,0,0.5,cup,142
SILK Nog;  soymilk,Vitamin C;  total ascorbic acid,0,0.5,cup,122
Puddings;  tapioca;  dry mix;  prepared with 2% milk,Vitamin C;  total ascorbic acid,0.7,0.5,cup,128
Puddings;  vanilla;  dry mix;  regular;  prepared with whole milk,Vitamin C;  total ascorbic acid,0,0.5,cup,140
Soup;  vegetable;  canned;  low sodium;  condensed,Vitamin C;  total ascorbic acid,0.8,0.5,cup,126
Abiyuch;  raw,Vitamin C;  total ascorbic acid,54.1,0.5,cup,114
Soup;  beef noodle;  canned;  condensed,Vitamin C;  total ascorbic acid,0.3,0.5,cup,125
Potatoes;  baked;  flesh;  with salt,Vitamin C;  total ascorbic acid,12.8,0.5,cup,61
Soup;  clam chowder;  new england;  canned;  condensed,Vitamin C;  total ascorbic acid,4.1,0.5,cup,126
Puddings;  coconut cream;  dry mix;  regular;  prepared with whole milk,Vitamin C;  total ascorbic acid,0.7,0.5,cup,140
Potatoes;  boiled;  cooked without skin;  flesh;  without salt,Vitamin C;  total ascorbic acid,7.4,0.5,cup,78
Soybeans;  mature seeds;  sprouted;  raw,Vitamin C;  total ascorbic acid,15.3,0.5,cup,35
Potatoes;  microwaved;  cooked in skin;  flesh;  without salt,Vitamin C;  total ascorbic acid,15.1,0.5,cup,78
Soup;  chicken vegetable;  canned;  condensed,Vitamin C;  total ascorbic acid,0.8,0.5,cup,121
HEALTHY REQUEST;  Chicken with Rice;  condensed,Vitamin C;  total ascorbic acid,1,0.5,cup,126
Potatoes;  boiled;  cooked in skin;  flesh;  without salt,Vitamin C;  total ascorbic acid,13,0.5,cup,78
Soup;  chicken noodle;  canned;  condensed,Vitamin C;  total ascorbic acid,0,0.5,cup,124
Fat free ice cream;  no sugar added;  flavors other than chocolate,Vitamin C;  total ascorbic acid,0,0.5,cup,68
Tomato products;  canned;  sauce;  with herbs and cheese,Vitamin C;  total ascorbic acid,10,0.5,cup,122
Cereals;  QUAKER;  Quick Oats with Iron;  Dry,Vitamin C;  total ascorbic acid,0,0.5,cup,40
Cheese;  ricotta;  part skim milk,Vitamin C;  total ascorbic acid,0,0.5,cup,124
